Token;POS;n
kam;VVFIN;256
das;PRELS;250
doch;ADV;250
durch;APPR;241
Und;KON;240
sein;VAINF;236
fand;VVFIN;233
was;PWS;233
mußte;VMFIN;232
aber;KON;226
da;KOUS;225
waren;VAFIN;223
Er;PPER;219
hatten;VAFIN;218
machte;VVFIN;218
seiner;PPOSAT;211
mich;PRF;209
dennoch;ADV;207
meinen;PPOSAT;206
nahm;VVFIN;205
sein;PPOSAT;205
ab;PTKVZ;204
meinem;PPOSAT;201
zwei;CARD;201
einmal;ADV;200
jedoch;ADV;199
sagte;VVFIN;199
um;KOUI;199
eines;ART;198
um;APPR;193
ins;APPRART;192
Schwester;NN;192
gegen;APPR;191
ihre;PPOSAT;191
Hand;NN;190
Herr;NN;189
»;$.;187
hielt;VVFIN;186
keine;PIAT;186
So;ADV;184
aus;PTKVZ;183
Das;PDS;178
stand;VVFIN;177
bis;APPR;176
Da;ADV;176
beim;APPRART;175
ihr;PPER;174
Bronski;NE;170
nichts;PIS;170
hat;VAFIN;169
ihren;PPOSAT;169
ohne;APPR;168
sah;VVFIN;166
Zeit;NN;165
alle;PIAT;164
ein;PTKVZ;162
Bebra;NE;161
seinem;PPOSAT;160
du;PPER;159
jener;PDAT;158
selbst;ADV;157
zu;PTKVZ;157
Wir;PPER;156
werden;VAINF;153
Lankes;NE;152
den;PRELS;151
Wenn;KOUS;151
wird;VAFIN;151
während;APPR;149
ganz;ADV;148
also;ADV;146
Frau;NN;145
ging;VVFIN;145
Großmutter;NN;144
haben;VAINF;144
doch;KON;143
habe;VAFIN;142
blieb;VVFIN;140
alles;PIS;139
ja;ADV;139
Das;ART;138
Greff;NE;138
vier;CARD;138
drei;CARD;136
während;KOUS;135
gleich;ADV;134
sind;VAFIN;134
sondern;KON;133
ihr;PPOSAT;132
können;VMINF;131
Auch;ADV;130
erst;ADV;129
dieser;PDAT;126
heute;ADV;126
Aber;KON;125
zwar;ADV;125
etwas;PIS;124
Blech;NN;123
sollte;VMFIN;123
Als;KOUS;122
Augen;NN;122
Vater;NN;122
bis;KOUS;121
dort;ADV;121
wo;PWAV;121
Was;PWS;120
kann;VMFIN;119
dem;PRELS;118
kein;PIAT;118
lag;VVFIN;118
neben;APPR;118
saß;VVFIN;117
etwa;ADV;115
zu;PTKA;115
haben;VAFIN;114
hieß;VVFIN;114
Koljaiczek;NE;114
zeigte;VVFIN;114
Klepp;NE;113
einige;PIAT;112
beiden;PIAT;111
Kopf;NN;111
machen;VVINF;111
etwas;ADV;110
genug;ADV;110
hier;ADV;110
soll;VMFIN;109
trug;VVFIN;109
Ein;ART;108
Mann;NN;108
ihrer;PPOSAT;107
jetzt;ADV;107
kurz;ADJD;107
damals;ADV;106
Dann;ADV;105
keinen;PIAT;105
Mutter;NN;105
nie;ADV;105
später;ADJD;103
stellte;VVFIN;103
Wie;PWAV;103
kaum;ADV;102
muß;VMFIN;102
sei;VAFIN;102
leicht;ADJD;101
vor;PTKVZ;101
nun;ADV;100
zog;VVFIN;100
Blick;NN;99
damit;KOUS;99
Oskars;NE;99
fast;ADV;98
gar;ADV;98
jenem;PDAT;97
lang;ADJD;97
lassen;VVINF;97
weiß;VVFIN;97
Herbert;NE;95
Richtung;NN;95
Man;PIS;94
schlug;VVFIN;94
will;VMFIN;93
Bett;NN;92
Gesicht;NN;92
Doch;KON;91
jenen;PDAT;91
diese;PDAT;90
Leute;NN;90
wäre;VAFIN;90
wurden;VAFIN;90
begann;VVFIN;89
Jahre;NN;88
Sohn;NN;88
Zimmer;NN;88
gut;ADJD;87
ihrem;PPOSAT;87
wohl;ADV;87
Herrn;NN;86
brachte;VVFIN;85
ersten;ADJA;85
Roswitha;NE;85
sehen;VVINF;85
Truczinski;NE;85
was;PRELS;85
wußte;VVFIN;85
allen;PIAT;84
gewesen;VAPP;84
meines;PPOSAT;84
schließlich;ADV;84
anderen;ADJA;83
Finger;NN;83
jene;PDAT;83
Mit;APPR;83
Tür;NN;83
Dorothea;NE;82
gerade;ADV;82
kamen;VVFIN;82
ob;KOUS;81
Stadt;NN;81
tat;VVFIN;81
Stimme;NN;80
Während;KOUS;80
bevor;KOUS;79
endlich;ADV;79
Tage;NN;78
dabei;PROAV;77
ließen;VVFIN;77
Wohnung;NN;77
zurück;PTKVZ;77
hörte;VVFIN;76
wegen;APPR;76
Namen;NN;75
sogar;ADV;75
dir;PPER;74
Glas;NN;74
jenes;PDAT;74
Jesus;NE;74
darauf;PROAV;73
links;ADV;73
nach;PTKVZ;73
oben;ADV;73
sagen;VVINF;73
sprach;VVFIN;73
mir;PRF;72
schrie;VVFIN;72
fiel;VVFIN;71
Hände;NN;71
nannte;VVFIN;71
wollten;VMFIN;71
...;$(;70
kleinen;ADJA;70
nich;ADJD;70
suchte;VVFIN;70
werden;VAFIN;70
Ende;NN;69
Post;NN;69
warf;VVFIN;69
Markus;NE;68
Wasser;NN;68
In;APPR;66
Nur;ADV;66
Auf;APPR;65
bald;ADV;65
Da;KOUS;65
führte;VVFIN;65
gerne;ADV;65
hoch;ADJD;65
Mädchen;NN;65
versuchte;VVFIN;65
Art;NN;64
dieses;PDAT;64
gleichfalls;ADV;64
griff;VVFIN;64
Kobyella;NE;64
Welt;NN;64
armen;ADJA;63
Bruno;NE;63
gemacht;VVPP;63
mal;ADV;63
Meine;PPOSAT;63
Keller;NN;62
laut;ADJD;62
Leo;NE;62
letzten;ADJA;62
ohne;KOUI;62
Seite;NN;62
trotz;APPR;62
alte;ADJA;61
hob;VVFIN;61
können;VMFIN;61
linken;ADJA;61
obgleich;KOUS;61
Von;APPR;61
Im;APPRART;60
müssen;VMINF;60
all;PIAT;59
Blechtrommel;NN;59
Freund;NN;59
gelang;VVFIN;59
langsam;ADJD;59
uns;PRF;59
vielleicht;ADV;59
zuerst;ADV;59
dich;PPER;58
Dr.;NN;58
hätten;VAFIN;58
Störtebeker;NE;58
womöglich;ADV;58
Als;APPR;57
dachte;VVFIN;57
Fajngold;NE;57
Jahren;NN;57
seines;PPOSAT;57
abermals;ADV;56
alle;PIS;56
Liebe;NN;56
rechts;ADV;56
Rücken;NN;56
aller;PIAT;55
aufs;APPRART;55
Buckel;NN;55
deshalb;PROAV;55
großen;ADJA;55
Teil;NN;55
Tod;NN;55
gleichzeitig;ADJD;54
ihnen;PPER;54
legte;VVFIN;54
de;NE;53
Du;PPER;53
durfte;VMFIN;53
Fenster;NN;53
Geschäft;NN;53
Mein;PPOSAT;53
Nicht;PTKNEG;53
Platz;NN;53
Schmuh;NN;53
setzte;VVFIN;53
besonders;ADV;52
Beton;NN;52
Laden;NN;52
lange;ADV;52
Straße;NN;52
unten;ADV;52
bot;VVFIN;51
dritten;ADJA;51
fünf;CARD;51
Glück;NN;51
Hause;NN;51
oft;ADV;51
schnell;ADJD;51
sonst;ADV;51
bat;VVFIN;50
Den;ART;50
seit;APPR;50
sogleich;ADV;50
standen;VVFIN;50
trommelte;VVFIN;50
Uhr;NN;50
deutlich;ADJD;49
etwas;PIAT;49
Frauen;NN;49
jeden;PIAT;49
Schon;ADV;49
sehr;ADV;49
Tag;NN;49
verloren;VVPP;49
weder;KON;49
Arm;NN;48
Brausepulver;NN;48
dazu;PROAV;48
deren;PRELAT;48
diesen;PDAT;48
drehte;VVFIN;48
Friedhof;NN;48
Gedanken;NN;48
Mühe;NN;48
nehmen;VVINF;48
schien;VVFIN;48
unserem;PPOSAT;48
bekam;VVFIN;47
gesehen;VVPP;47
heißt;VVFIN;47
konnten;VMFIN;47
machten;VVFIN;47
mit;PTKVZ;47
Tisch;NN;47
verließ;VVFIN;47
Arbeit;NN;46
Auge;NN;46
bin;VAFIN;46
denen;PRELS;46
gehabt;VAPP;46
gibt;VVFIN;46
mußten;VMFIN;46
zuvor;ADV;46
hing;VVFIN;45
Knie;NN;45
Kreuz;NN;45
neue;ADJA;45
schob;VVFIN;45
vielmehr;ADV;45
andere;ADJA;44
davon;PROAV;44
Eine;ART;44
Herz;NN;44
hin;PTKVZ;44
hören;VVINF;44
Korridor;NN;44
Menschen;NN;44
sofort;ADV;44
viel;ADV;44
alleine;ADV;43
Anfang;NN;43
Burschen;NN;43
Erst;ADV;43
gefunden;VVPP;43
halb;ADJD;43
Kitty;NE;43
manchmal;ADV;43
Marias;NE;43
mehr;PIAT;43
rechten;ADJA;43
spielte;VVFIN;43
Teppich;NN;43
Wochen;NN;43
wollen;VMFIN;43
Zeidler;NE;43
allzu;PTKA;42
Felix;NE;42
Frage;NN;42
Köchin;NN;42
kommen;VVINF;42
Leben;NN;42
Matzeraths;NE;42
mehr;PIS;42
Meyn;NE;42
tun;VVINF;42
besser;ADJD;41
denn;ADV;41
diesem;PDAT;41
fürs;APPRART;41
Geburtstag;NN;41
genau;ADJD;41
hin;ADV;41
Ihnen;PPER;41
kommt;VVFIN;41
macht;VVFIN;41
mehrmals;ADV;41
Raguna;NE;41
recht;ADV;41
Sand;NN;41
Weg;NN;41
wissen;VVINF;41
zumeist;ADV;41
zweiten;ADJA;41
«;KON;40
»;KON;40
ähnlich;ADJD;40
alten;ADJA;40
Anna;NE;40
Händen;NN;40
Krankenschwester;NN;40
Luft;NN;40
Nach;APPR;40
Nonnen;NN;40
sieben;CARD;40
Tribüne;NN;40
Wort;NN;40
Wörtchen;NN;40
arme;ADJA;39
beide;PIS;39
blickte;VVFIN;39
erste;ADJA;39
Fisch;NN;39
gaben;VVFIN;39
geben;VVINF;39
Holz;NN;39
Hund;NN;39
mag;VMFIN;39
roch;VVFIN;39
sechs;CARD;39
solch;PIAT;39
Zentimeter;NN;39
Bebras;NE;38
Dennoch;ADV;38
fallen;VVINF;38
ganze;ADJA;38
Jungfrau;NN;38
kleine;ADJA;38
Kurt;NE;38
Licht;NN;38
Mitte;NN;38
nachdem;KOUS;38
Noch;ADV;38
Ohr;NN;38
Spiel;NN;38
stieß;VVFIN;38
unsere;PPOSAT;38
Vielleicht;ADV;38
Vinzent;NE;38
wartete;VVFIN;38
Am;APPRART;37
Bunker;NN;37
Denn;KON;37
die;PDS;37
gegeben;VVPP;37
Goethe;NE;37
Haus;NN;37
Heilandt;NN;37
Jahr;NN;37
jungen;ADJA;37
Kinder;NN;37
Männer;NN;37
Meister;NN;37
neuen;ADJA;37
öffnete;VVFIN;37
Ruhe;NN;37
Stunde;NN;37
Tages;NN;37
Ulla;NE;37
weinte;VVFIN;37
Danzig;NE;36
drückte;VVFIN;36
eigentlich;ADV;36
Erwachsenen;NN;36
fanden;VVFIN;36
finden;VVINF;36
Flucht;NN;36
Gemüsehändler;NN;36
gesagt;VVPP;36
gingen;VVFIN;36
Jetzt;ADV;36
könne;VMFIN;36
Kurtchen;NE;36
Muse;NN;36
Nun;ADV;36
Papier;NN;36
sagt;VVFIN;36
Saspe;NE;36
sicher;ADJD;36
trat;VVFIN;36
voller;APPR;36
weiter;ADV;36
Zwiebelkeller;NN;36
bis;KON;35
Großvater;NN;35
jedem;PIAT;35
jeder;PIAT;35
Knaben;NN;35
mehrere;PIAT;35
Na;ITJ;35
nein;PTKANT;35
Polen;NE;35
ruhig;ADJD;35
sang;VVFIN;35
Scheffler;NE;35
sprang;VVFIN;35
zusammen;PTKVZ;35
Aale;NN;34
An;APPR;34
Antwort;NN;34
beide;PIAT;34
dessen;PRELAT;34
große;ADJA;34
Hof;NN;34
holte;VVFIN;34
Jans;NE;34
Korneff;NE;34
Kurtchen;NN;34
lagen;VVFIN;34
Mir;PPER;34
möchte;VMFIN;34
Paris;NE;34
rief;VVFIN;34
schwarzen;ADJA;34
unserer;PPOSAT;34
wer;PWS;34
Zwiebeln;NN;34
acht;CARD;33
Angst;NN;33
außer;APPR;33
Bild;NN;33
blieben;VVFIN;33
dafür;PROAV;33
Damen;NN;33
Fingern;NN;33
half;VVFIN;33
halten;VVINF;33
hinten;ADV;33
Küche;NN;33
niemand;PIS;33
Röcken;NN;33
sobald;KOUS;33
Trommeln;NN;33
um;PTKVZ;33
verlangte;VVFIN;33
verstand;VVFIN;33
Vor;APPR;33
wann;PWAV;33
breit;ADJD;32
dreißig;CARD;32
eigenen;ADJA;32
früh;ADJD;32
gegenüber;APPR;32
glaube;VVFIN;32
Hauptmann;NN;32
Haut;NN;32
ihres;PPOSAT;32
lief;VVFIN;32
Musik;NN;32
Nachmittag;NN;32
Nacht;NN;32
nahmen;VVFIN;32
Rasputin;NE;32
Rock;NN;32
Stein;NN;32
weit;ADJD;32
weniger;ADV;32
Woche;NN;32
erlaubte;VVFIN;31
fragte;VVFIN;31
fuhr;VVFIN;31
Gelegenheit;NN;31
Hilfe;NN;31
kannte;VVFIN;31
Kokosläufer;NN;31
könnte;VMFIN;31
läßt;VVFIN;31
Maler;NN;31
nächsten;ADJA;31
sahen;VVFIN;31
saßen;VVFIN;31
Stück;NN;31
Tütchen;NN;31
Um;KOUI;31
unseren;PPOSAT;31
Vittlar;NE;31
weißen;ADJA;31
Zwar;ADV;31
Abend;NN;30
erzählte;VVFIN;30
fest;PTKVZ;30
Fräulein;NN;30
fuhren;VVFIN;30
Fuß;NN;30
ganzen;ADJA;30
Guste;NE;30
gute;ADJA;30
her;PTKVZ;30
Herren;NN;30
langen;ADJA;30
Musiker;NN;30
steht;VVFIN;30
stieg;VVFIN;30
Stunden;NN;30
traf;VVFIN;30
trommeln;VVINF;30
vorbei;PTKVZ;30
weiterhin;ADV;30
Wer;PWS;30
zählte;VVFIN;30
Zigarette;NN;30
Zuerst;ADV;30
Agneta;NE;29
Angeklagte;NN;29
Arme;NN;29
bist;VAFIN;29
Blut;NN;29
bringen;VVINF;29
Fleisch;NN;29
Floß;NN;29
gehen;VVINF;29
geht;VVFIN;29
Geschichte;NN;29
groß;ADJD;29
her;APZR;29
Herz-Jesu-Kirche;NN;29
hielten;VVFIN;29
Himmel;NN;29
liebte;VVFIN;29
Mensch;NN;29
Nähe;NN;29
nennen;VVINF;29
Niobe;NE;29
Onkel;NN;29
schloß;VVFIN;29
sollen;VMFIN;29
sprechen;VVINF;29
Stirn;NN;29
Treppe;NN;29
unser;PPOSAT;29
verlor;VVFIN;29
Volk;NN;29
Wohnzimmer;NN;29
zehn;CARD;29
allenfalls;ADV;28
einigen;PIAT;28
Erfolg;NN;28
folgenden;ADJA;28
Gertrud;NE;28
glaubte;VVFIN;28
Gretchen;NN;28
hast;VAFIN;28
her;ADV;28
hervor;PTKVZ;28
Herzog;NE;28
Krankenschwestern;NN;28
Ladentisch;NN;28
linke;ADJA;28
reichte;VVFIN;28
schlecht;ADJD;28
Schließlich;ADV;28
Schugger;NE;28
spielen;VVINF;28
unterm;APPRART;28
viel;PIS;28
Wind;NN;28
Zeiten;NN;28
anderen;PIS;27
Bauch;NN;27
begriff;VVFIN;27
bleiben;VVINF;27
Dame;NN;27
Die;PDS;27
gebracht;VVPP;27
Gleich;ADV;27
Grund;NN;27
Hälfte;NN;27
Hedwig;NE;27
hingen;VVFIN;27
Immer;ADV;27
jedes;PIAT;27
junge;ADJA;27
Kammer;NN;27
Katzen;NN;27
Kaum;ADV;27
Labesweg;NN;27
Lina;NE;27
noch;KON;27
Satan;NE;27
Stelle;NN;27
Stephan;NE;27
Straßenbahn;NN;27
Viktor;NE;27
Warum;PWAV;27
Aal;NN;26
Bissau;NE;26
Der;PDS;26
eher;ADV;26
Fall;NN;26
Feuer;NN;26
Greffs;NE;26
grün;ADJD;26
hinterher;ADV;26
Kirche;NN;26
Korneff;NN;26
lieber;ADV;26
Polizei;NN;26
Raum;NN;26
Rede;NN;26
Röcke;NN;26
Schaufenster;NN;26
Schluß;NN;26
suchen;VVINF;26
überhaupt;ADV;26
voller;ADJA;26
vorsichtig;ADJD;26
weg;PTKVZ;26
Werner;NE;26
Wunder;NN;26
zweite;ADJA;26
Anblick;NN;25
anläßlich;APPR;25
Bier;NN;25
Brille;NN;25
Bruder;NN;25
Brust;NN;25
fertig;ADJD;25
flüsterte;VVFIN;25
geworden;VAPP;25
guten;ADJA;25
Hollatz;NE;25
indem;KOUS;25
Kartoffeln;NN;25
Kuchen;NN;25
Luzie;NE;25
Mamas;NN;25
Meter;NN;25
Minuten;NN;25
Mund;NN;25
mutmaßlichen;ADJA;25
neun;CARD;25
polnischen;ADJA;25
Reise;NN;25
Rest;NN;25
Sarg;NN;25
schlief;VVFIN;25
schön;ADJD;25
Schuld;NN;25
Schwarze;ADJA;25
Selbst;ADV;25
Sonne;NN;25
Tränen;NN;25
verschwand;VVFIN;25
Wachstum;NN;25
weg;ADV;25
wirklich;ADJD;25
–;$.;24
bißchen;PIS;24
der;PDS;24
Dort;ADV;24
entweder;KON;24
Fliesen;NN;24
galt;VVFIN;24
Gäste;NN;24
gegenüber;PTKVZ;24
gekommen;VVPP;24
Geld;NN;24
Geruch;NN;24
glücklich;ADJD;24
Grab;NN;24
Größe;NN;24
Hausmeister;NN;24
Hochwürden;NN;24
Igel;NN;24
Kind;NN;24
klein;ADJD;24
Kunst;NN;24
längere;ADJA;24
liegen;VVINF;24
mitten;ADV;24
müssen;VMFIN;24
Natur;NN;24
nenne;VVFIN;24
Neufahrwasser;NE;24
schlagen;VVINF;24
schwarz;ADJD;24
schwer;ADJD;24
ständig;ADJD;24
Stauer;NN;24
trank;VVFIN;24
War;VAFIN;24
warum;PWAV;24
winkte;VVFIN;24
würde;VAFIN;24
Zeichen;NN;24
zweimal;ADV;24
ans;APPRART;23
befand;VVFIN;23
beiden;PIS;23
bemerkte;VVFIN;23
Beruf;NN;23
blau;ADJD;23
brauchte;VVFIN;23
Brief;NN;23
direkt;ADJD;23
Dösch;NE;23
ehemaligen;ADJA;23
erhob;VVFIN;23
Familie;NN;23
Figur;NN;23
fort;PTKVZ;23
fortan;ADV;23
fühlte;VVFIN;23
geblieben;VVPP;23
Gefühl;NN;23
Haar;NN;23
Haare;NN;23
Ist;VAFIN;23
jede;PIAT;23
jemand;PIS;23
Kunsthonig;NN;23
las;VVFIN;23
leeren;ADJA;23
Loch;NN;23
los;PTKVZ;23
Mietshauses;NN;23
Mond;NN;23
müde;ADJD;23
Nase;NN;23
Ohne;APPR;23
Pfleger;NN;23
Polnischen;ADJA;23
Schlaf;NN;23
Schlafzimmer;NN;23
Schmuh;NE;23
selten;ADJD;23
Sigismund;NE;23
Speichel;NN;23
Stufen;NN;23
Tagen;NN;23
unseres;PPOSAT;23
viel;PIAT;23
Agnes;NE;22
aß;VVFIN;22
bekommen;VVINF;22
bestand;VVFIN;22
blauen;ADJA;22
Brösen;NE;22
darf;VMFIN;22
Daß;KOUS;22
dich;PRF;22
Ecke;NN;22
einiger;PIAT;22
Feld;NN;22
Foto;NN;22
froh;ADJD;22
genannt;VVPP;22
Gerresheim;NE;22
gewiß;ADV;22
Glühbirnen;NN;22
Gott;NN;22
Griff;NN;22
Hals;NN;22
Heil-;TRUNC;22
Heute;ADV;22
Höhe;NN;22
Joseph;NE;22
Kohlenklau;NE;22
Körper;NN;22
Krankenanstalten;NN;22
lächelte;VVFIN;22
lachte;VVFIN;22
Leuten;NN;22
mochte;VMFIN;22
Möwen;NN;22
müsse;VMFIN;22
rot;ADJD;22
schenkte;VVFIN;22
Sinn;NN;22
Spiegel;NN;22
sprachen;VVFIN;22
Stoff;NN;22
taten;VVFIN;22
Trommler;NN;22
viele;PIAT;22
vorbei;ADV;22
wagte;VVFIN;22
werde;VAFIN;22
wies;VVFIN;22
Besuch;NN;21
Dabei;PROAV;21
Dachboden;NN;21
erinnerte;VVFIN;21
Etage;NN;21
Fotos;NN;21
gefallen;VVPP;21
genommen;VVPP;21
glauben;VVINF;21
Gretchen;NE;21
Hatte;VAFIN;21
Hier;ADV;21
Lage;NN;21
leise;ADJD;21
letzte;ADJA;21
Lux;NE;21
meinte;VVFIN;21
mochte;VVFIN;21
Nachdem;KOUS;21
Pflegeanstalt;NN;21
Radio;NN;21
rechte;ADJA;21
Schnee;NN;21
Schulter;NN;21
stehen;VVFIN;21
stellten;VVFIN;21
Sturz;NN;21
Trompete;NN;21
trugen;VVFIN;21
Uniformen;NN;21
verlassen;VVINF;21
vierten;ADJA;21
voll;ADJD;21
Wand;NN;21
wie;KON;21
Witwe;NN;21
wohnte;VVFIN;21
Wunsch;NN;21
zwanzig;CARD;21
’;$(;20
Ach;ITJ;20
alles;PIAT;20
alt;ADJD;20
anderes;PIS;20
Aus;APPR;20
Bei;APPR;20
Bein;NN;20
Bevor;KOUS;20
bitte;ADV;20
bleibt;VVFIN;20
Chaiselongue;NN;20
Dem;ART;20
Diese;PDAT;20
Einen;ART;20
Existenz;NN;20
frisch;ADJD;20
Fritz;NE;20
Für;APPR;20
gebe;VVFIN;20
geschlossen;VVPP;20
Jugend;NN;20
Karten;NN;20
Kurtchens;NE;20
Linie;NN;20
Mich;PPER;20
Münzer;NE;20
nach;ADV;20
nahe;APPR;20
nickte;VVFIN;20
recht;NN;20
richtig;ADJD;20
riß;VVFIN;20
Rolltreppe;NN;20
Schaden;NN;20
Schefflers;NE;20
schoß;VVFIN;20
Schrei;NN;20
sehen;VVFIN;20
sollten;VMFIN;20
stehen;VVINF;20
Steinmetz;NE;20
Tante;NN;20
Theater;NN;20
tragen;VVINF;20
Truczinskis;NE;20
überall;ADV;20
übers;APPRART;20
verstehen;VVINF;20
Wagen;NN;20
wahrscheinlich;ADJD;20
was;PIS;20
Wirt;NN;20
worden;VAPP;20
Worte;NN;20
Augenblick;NN;19
August;NN;19
besuchte;VVFIN;19
Bewegung;NN;19
Bücher;NN;19
Doktor;NN;19
Dora;NE;19
dreimal;ADV;19
dunklen;ADJA;19
einen;PIS;19
fielen;VVFIN;19
fürchtete;VVFIN;19
Füßen;NN;19
Ihre;PPOSAT;19
Inge;NE;19
inzwischen;ADV;19
Ja;PTKANT;19
Jimmy;NE;19
Kasten;NN;19
Knien;NN;19
Langfuhr;NE;19
Modell;NN;19
Nacken;NN;19
näherte;VVFIN;19
nannten;VVFIN;19
niemals;ADV;19
Oberschenkel;NN;19
Patient;NN;19
Sack;NN;19
sage;VVFIN;19
Schrank;NN;19
Schritt;NN;19
Seine;PPOSAT;19
Seiten;NN;19
selben;ADJA;19
Sohnes;NN;19
Sonntag;NN;19
spät;ADJD;19
stellen;VVINF;19
still;ADJD;19
Text;NN;19
trotzdem;PROAV;19
Uhrmacher;NN;19
vorm;APPRART;19
Weinen;NN;19
weißrot;ADJD;19
Worten;NN;19
zeigten;VVFIN;19
Zug;NN;19
–;$,;18
Alter;NN;18
Amerika;NE;18
Angeklagten;NN;18
Beinen;NN;18
bereit;ADJD;18
Chef;NN;18
damit;PROAV;18
Düsseldorf;NE;18
einst;ADV;18
einzigen;ADJA;18
erkannte;VVFIN;18
erreichte;VVFIN;18
faßte;VVFIN;18
frei;ADJD;18
Gelächter;NN;18
Gespräch;NN;18
grünen;ADJA;18
Hemd;NN;18
herum;PTKVZ;18
Herzen;NN;18
Ihr;PPOSAT;18
Kerzen;NN;18
Klavier;NN;18
kommen;VVFIN;18
Krieg;NN;18
Kuh;NN;18
Lust;NN;18
Menge;NN;18
Nichts;PIS;18
Obgleich;KOUS;18
Oder;KON;18
Partei;NN;18
Rasputin;NN;18
Ringfinger;NN;18
Scheiben;NN;18
Schlag;NN;18
schließen;VVINF;18
Schultern;NN;18
Spaß;NN;18
spielten;VVFIN;18
Stöcke;NN;18
Strand;NN;18
Tribünen;NN;18
Uniform;NN;18
Vom;APPRART;18
wissen;VVFIN;18
Wranka;NE;18
Zähnen;NN;18
zeigt;VVFIN;18
Ziel;NN;18
zumal;KOUS;18
Zunge;NN;18
zwölf;CARD;18
andere;PIS;17
anders;ADV;17
angenehm;ADJD;17
Armen;NN;17
befahl;VVFIN;17
Beine;NN;17
Brand;NN;17
Brandstifter;NN;17
Briefe;NN;17
Bronskis;NE;17
deine;PPOSAT;17
dünn;ADJD;17
durchs;APPRART;17
einer;PIS;17
entgegen;PTKVZ;17
Erde;NN;17
erinnere;VVFIN;17
erklärte;VVFIN;17
erstenmal;ADV;17
erstmals;ADV;17
Freundes;NN;17
Fußende;NN;17
gelegentlich;ADJD;17
gelungen;VVPP;17
genauso;ADV;17
Gericht;NN;17
geriet;VVFIN;17
getan;VVPP;17
heraus;PTKVZ;17
hinauf;PTKVZ;17
hoch;PTKVZ;17
hockte;VVFIN;17
je;ADV;17
Klepps;NE;17
Korb;NN;17
Kundschaft;NN;17
Kunstakademie;NN;17
küßte;VVFIN;17
lächelnd;ADJD;17
leider;ADV;17
Löbsack;NE;17
Mark;NN;17
meine;VVFIN;17
Narses;NE;17
nötig;ADJD;17
oberen;ADJA;17
Oberleutnant;NN;17
Oh;ITJ;17
Oskarchen;NN;17
Punkt;NN;17
Russen;NN;17
Schmuhs;NE;17
schwarze;ADJA;17
Schwierigkeiten;NN;17
Se;NE;17
sieht;VVFIN;17
singen;VVINF;17
Skat;NN;17
Städtischen;ADJA;17
starb;VVFIN;17
steckte;VVFIN;17
Strümpfe;NN;17
Susi;NE;17
Tasche;NN;17
tot;ADJD;17
versprach;VVFIN;17
warten;VVINF;17
Wege;NN;17
wegen;APPO;17
weiße;ADJA;17
welches;PRELS;17
Wetter;NN;17
Wiehnke;NE;17
wollen;VMINF;17
Zaun;NN;17
Ziegelei;NN;17
»;$,;16
aus;APZR;16
Bande;NN;16
Beate;NE;16
beinahe;ADV;16
bewegen;VVINF;16
Butter;NN;16
Café;NN;16
Christi;NE;16
dürfen;VMINF;16
entschloß;VVFIN;16
fehlte;VVFIN;16
floh;VVFIN;16
forderte;VVFIN;16
Form;NN;16
Frühstück;NN;16
gefiel;VVFIN;16
gehe;VVFIN;16
gehörte;VVFIN;16
gelegt;VVPP;16
genug;PIAT;16
Herberts;NE;16
Hintergrund;NN;16
hundert;CARD;16
Inschrift;NN;16
is;PTKVZ;16
jene;PDS;16
