Token;POS;n
dieses;PDAT;23
Füßen;NN;23
Glas;NN;23
jeder;PIAT;23
kamen;VVFIN;23
liegt;VVFIN;23
Musik;NN;23
nahm;VVFIN;23
Ohren;NN;23
schwarzen;ADJA;23
würden;VAFIN;23
zog;VVFIN;23
zwar;ADV;23
An;APPR;22
besser;ADJD;22
Daumen;NN;22
fast;ADV;22
Jahre;NN;22
könnte;VMFIN;22
laut;ADJD;22
letzte;ADJA;22
Lied;NN;22
Nachbarn;NN;22
oben;ADV;22
schreit;VVFIN;22
schrie;VVFIN;22
Tage;NN;22
unseren;PPOSAT;22
viele;PIAT;22
zeigt;VVFIN;22
…;XY;21
Deutschland;NE;21
einer;PIS;21
euch;PPER;21
fällt;VVFIN;21
hinten;ADV;21
hob;VVFIN;21
kurz;ADJD;21
Mütter;NN;21
Reise;NN;21
schöne;ADJA;21
Schwein;NN;21
sehen;VVFIN;21
Spok;NE;21
Stern;NN;21
Stock;NN;21
unten;ADV;21
Vaters;NN;21
Veranda;NN;21
viel;PIAT;21
weiter;ADV;21
Wels;NN;21
Wer;PWS;21
Wohnung;NN;21
Zigarette;NN;21
dafür;PROAV;20
Dinge;NN;20
dreißig;CARD;20
Ecke;NN;20
erzählte;VVFIN;20
fahre;VVFIN;20
fünf;CARD;20
ganzen;ADJA;20
gern;ADV;20
hält;VVFIN;20
Herz;NN;20
Hut;NN;20
Liebe;NN;20
Minuten;NN;20
Nach;APPR;20
riecht;VVFIN;20
Schnaps;NN;20
schön;ADJD;20
singt;VVFIN;20
Tränen;NN;20
viel;PIS;20
Wein;NN;20
Zähne;NN;20
andere;ADJA;19
anderen;PIS;19
braucht;VVFIN;19
Dach;NN;19
dachte;VVFIN;19
dreht;VVFIN;19
einzige;ADJA;19
Eis;NN;19
genannt;VVPP;19
junge;ADJA;19
kalt;ADJD;19
kannst;VMFIN;19
kommen;VVFIN;19
Küche;NN;19
Land;NN;19
langen;ADJA;19
lasse;VVFIN;19
machte;VVFIN;19
Pferd;NN;19
rechts;ADV;19
Schnurrbart;NN;19
setzte;VVFIN;19
spricht;VVFIN;19
Titos;NE;19
unserem;PPOSAT;19
Vukoje;NE;19
Alles;PIS;18
alten;ADJA;18
blieb;VVFIN;18
bloß;ADV;18
Bogoljub;NE;18
Brille;NN;18
eigenen;ADJA;18
einige;PIAT;18
fand;VVFIN;18
Fische;NN;18
Geschichten;NN;18
Gott;NN;18
groß;ADJD;18
gute;ADJA;18
hin;PTKVZ;18
hoch;ADJD;18
Junge;NN;18
kaum;ADV;18
Krsmanović;NE;18
lässt;VVFIN;18
male;VVFIN;18
Mama;NN;18
Man;PIS;18
Mesud;NE;18
Mikado;NE;18
müssen;VMFIN;18
müsste;VMFIN;18
nach;PTKVZ;18
Schultern;NN;18
serbischen;ADJA;18
Spiel;NN;18
voll;ADJD;18
Warum;PWAV;18
Zoff;NN;18
zweiten;ADJA;18
Amela;NE;17
Da;ADV;17
dabei;PROAV;17
denn;KON;17
einen;PIS;17
Fähigkeitenzauberer;NN;17
gehen;VVINF;17
genommen;VVPP;17
hebt;VVFIN;17
Himmel;NN;17
Ihre;PPOSAT;17
kenne;VVFIN;17
lange;ADJA;17
Pokor;NN;17
saß;VVFIN;17
schlug;VVFIN;17
seines;PPOSAT;17
Stunden;NN;17
Taifun;NN;17
Territorialen;NN;17
unserer;PPOSAT;17
vorbei;PTKVZ;17
während;KOUS;17
Wangen;NN;17
Wäre;VAFIN;17
Zimmer;NN;17
Zorans;NE;17
Aziz;NE;16
bald;ADV;16
Bild;NN;16
da;KOUS;16
da;PTKVZ;16
danach;PROAV;16
darauf;PROAV;16
deinen;PPOSAT;16
diesen;PDAT;16
Dort;ADV;16
ernst;ADJD;16
erzählt;VVFIN;16
fertig;ADJD;16
Fingern;NN;16
Fotos;NN;16
Für;APPR;16
geblieben;VVPP;16
Genosse;NN;16
Gras;NN;16
heißt;VVFIN;16
höre;VVFIN;16
hört;VVFIN;16
hörte;VVFIN;16
Kein;PIAT;16
lacht;VVFIN;16
lauter;ADJD;16
legte;VVFIN;16
mache;VVFIN;16
Mister;NE;16
neue;ADJA;16
Nur;ADV;16
oft;ADV;16
Osijek;NE;16
rufe;VVFIN;16
schneller;ADJD;16
See;NN;16
Seine;PPOSAT;16
sitzt;VVFIN;16
vorbei;ADV;16
Wald;NN;16
wären;VAFIN;16
warf;VVFIN;16
wegen;APPR;16
weißen;ADJA;16
Wohnzimmer;NN;16
wollen;VMFIN;16
Bart;NN;15
Bauch;NN;15
Bosnien;NE;15
dazu;PROAV;15
die;PDS;15
draußen;ADV;15
erklären;VVINF;15
erzählen;VVINF;15
Fisch;NN;15
Flinte;NN;15
flüsterte;VVFIN;15
Gedanken;NN;15
gegeben;VVPP;15
Geld;NN;15
guten;ADJA;15
hätten;VAFIN;15
Heute;ADV;15
holt;VVFIN;15
Knie;NN;15
komme;VVFIN;15
küsst;VVFIN;15
lag;VVFIN;15
langsam;ADJD;15
längst;ADV;15
Meter;NN;15
Musa;NE;15
Ordnung;NN;15
schlecht;ADJD;15
schrieb;VVFIN;15
Schritte;NN;15
Sommer;NN;15
spielte;VVFIN;15
tot;ADJD;15
trug;VVFIN;15
Von;APPR;15
Weil;KOUS;15
wirft;VVFIN;15
ab;APPR;14
antwortete;VVFIN;14
Armin;NE;14
Asphalt;NN;14
aufs;APPRART;14
Auge;NN;14
Bücher;NN;14
darüber;PROAV;14
Erinnerung;NN;14
fest;PTKVZ;14
finde;VVFIN;14
flüstert;VVFIN;14
Fragen;NN;14
Francescos;NE;14
Gavro;NE;14
gehe;VVFIN;14
gehört;VVFIN;14
halten;VVINF;14
Häuser;NN;14
Herrn;NN;14
Hund;NN;14
Igalo;NE;14
Immer;ADV;14
jedem;PIAT;14
Jugoslawien;NE;14
kommen;VVINF;14
Kugel;NN;14
las;VVFIN;14
meines;PPOSAT;14
Milan;NE;14
Nebel;NN;14
nein;PTKANT;14
Pause;NN;14
reicht;VVFIN;14
roten;ADJA;14
Satz;NN;14
schlägt;VVFIN;14
Schulter;NN;14
Schüsse;NN;14
serbische;ADJA;14
sieben;CARD;14
stelle;VVFIN;14
stellte;VVFIN;14
Taifun;NE;14
trotzdem;PROAV;14
tut;VVFIN;14
Vor;APPR;14
was;PIS;14
Wo;PWAV;14
Zeitung;NN;14
Zwei;CARD;14
Ankica;NE;13
ans;APPRART;13
Atelier;NN;13
außer;APPR;13
Auto;NN;13
besten;ADJA;13
bleiben;VVINF;13
Boris;NE;13
Carl;NE;13
darin;PROAV;13
dritten;ADJA;13
egal;ADV;13
eigene;ADJA;13
einfach;ADV;13
einzigen;ADJA;13
Erst;ADV;13
Essen;NE;13
fuhr;VVFIN;13
Fuß;NN;13
geben;VVINF;13
gehen;VVFIN;13
gelernt;VVPP;13
getragen;VVPP;13
Hallo;NN;13
Ist;VAFIN;13
jemals;ADV;13
jemanden;PIS;13
klingt;VVFIN;13
Lehrer;NN;13
leise;ADJD;13
Menge;NN;13
Milch;NN;13
Mündung;NN;13
nennt;VVFIN;13
paar;PIAT;13
pfiff;VVFIN;13
Pflaumen;NN;13
Popen;NN;13
reden;VVFIN;13
reden;VVINF;13
Roter;ADJA;13
sagten;VVFIN;13
spät;ADJD;13
spielen;VVINF;13
sprach;VVFIN;13
steckt;VVFIN;13
stolz;ADJD;13
trat;VVFIN;13
Veletovo;NE;13
Vögel;NN;13
Waffen;NN;13
warte;VVFIN;13
Zahnstocher;NN;13
Zeigefinger;NN;13
anders;ADV;12
April;NN;12
auswendig;ADJD;12
Autos;NN;12
beiden;PIS;12
Beinen;NN;12
Bruder;NN;12
Danilo;NE;12
denen;PRELS;12
deswegen;PROAV;12
Drei;CARD;12
Drina;NN;12
ehrlich;ADJD;12
Fahrer;NN;12
falls;KOUS;12
Flur;NN;12
freute;VVFIN;12
gebe;VVFIN;12
gekommen;VVPP;12
gestern;ADV;12
gleichen;ADJA;12
glücklich;ADJD;12
Gottes;NN;12
Grammofon;NN;12
Grün;NN;12
Hackfleisch;NN;12
Haut;NN;12
her;ADV;12
Hochhaus;NN;12
hundert;CARD;12
Kinder;NN;12
Kinn;NN;12
klar;ADJD;12
lassen;VVINF;12
lebt;VVFIN;12
lege;VVFIN;12
Lichtung;NN;12
lief;VVFIN;12
liegen;VVFIN;12
Liste;NN;12
Meister;NN;12
Milenko;NE;12
Mirela;NE;12
morgen;ADV;12
müssen;VMINF;12
Nacken;NN;12
nannte;VVFIN;12
nickte;VVFIN;12
Omas;NE;12
Papa;NN;12
Rede;NN;12
Richtung;NN;12
roch;VVFIN;12
rote;ADJA;12
sahen;VVFIN;12
schloss;VVFIN;12
Schnur;NN;12
Schoß;NN;12
sitzen;VVINF;12
Sonntag;NN;12
stehe;VVFIN;12
traf;VVFIN;12
trank;VVFIN;12
überall;ADV;12
Versprechen;NN;12
vierten;ADJA;12
voller;ADJA;12
weiter;PTKVZ;12
zuckt;VVFIN;12
zurück;ADV;12
zwanzig;CARD;12
Zwiebeln;NN;12
…;$.;11
allem;PIS;11
allen;PIAT;11
andere;PIS;11
Angeln;NN;11
beide;PIS;11
Beispiel;NN;11
bekam;VVFIN;11
bleibe;VVFIN;11
damit;PROAV;11
Dass;KOUS;11
denken;VVINF;11
Die;PDS;11
durch;PTKVZ;11
durfte;VMFIN;11
erinnere;VVFIN;11
fahren;VVFIN;11
Faust;NN;11
fiel;VVFIN;11
gefunden;VVPP;11
geküsst;VVPP;11
Gleich;ADV;11
habt;VAFIN;11
Haken;NN;11
hattest;VAFIN;11
Hose;NN;11
irgendetwas;PIS;11
Jetzt;ADV;11
Jungs;NN;11
Katze;NN;11
Kemo;NE;11
kennt;VVFIN;11
Körper;NN;11
läuft;VVFIN;11
Leid;NN;11
Limonade;NN;11
machst;VVFIN;11
Mai;NN;11
manchmal;ADV;11
Marko;NE;11
Meer;NN;11
Meinung;NN;11
Messer;NN;11
Mitte;NN;11
Montag;NN;11
Moschee;NN;11
müde;ADJD;11
Mütze;NN;11
offen;ADJD;11
plötzlich;ADJD;11
richtig;ADJD;11
riss;VVFIN;11
Schlaf;NN;11
schlafen;VVINF;11
schüttelte;VVFIN;11
sechs;CARD;11
Sekunden;NN;11
Serben;NN;11
Slavkos;NE;11
spielt;VVFIN;11
Stiefel;NN;11
Stimmen;NN;11
suche;VVFIN;11
Tal;NN;11
Tasche;NN;11
taucht;VVFIN;11
Teig;NN;11
tief;ADJD;11
Treppe;NN;11
Trikot;NN;11
trinken;VVFIN;11
Tuch;NN;11
Über;APPR;11
Ur-Oma;NE;11
vergessen;VVPP;11
Wagen;NN;11
Wange;NN;11
Wolken;NN;11
wurden;VAFIN;11
Wurm;NN;11
zweite;ADJA;11
zwölf;CARD;11
–;$.;10
Abschied;NN;10
ach;ITJ;10
acht;CARD;10
Akkordeon;NN;10
all;PIAT;10
Alle;PIAT;10
aufhören;VVINF;10
Bei;APPR;10
Bein;NN;10
bekomme;VVFIN;10
Bett;NN;10
bisschen;PIS;10
Blatt;NN;10
bricht;VVFIN;10
Brief;NN;10
Chefgenosse;NN;10
daran;PROAV;10
Deine;PPOSAT;10
Der;PDS;10
Dreipunktemann;NN;10
drückt;VVFIN;10
einander;PRF;10
Einen;ART;10
Einmal;ADV;10
Enkel;NN;10
Fahne;NN;10
Farbe;NN;10
Felsen;NN;10
finden;VVINF;10
findet;VVFIN;10
Freund;NN;10
früh;ADJD;10
Gebäude;NN;10
gegangen;VVPP;10
gehalten;VVPP;10
gehört;VVPP;10
genauso;ADV;10
geschossen;VVPP;10
gesprochen;VVPP;10
gestorben;VVPP;10
Gewicht;NN;10
Grab;NN;10
Hast;VAFIN;10
hinein;PTKVZ;10
Hinterkopf;NN;10
Hotel;NN;10
je;ADV;10
kleiner;ADJA;10
komm;VVIMP;10
konnten;VMFIN;10
könnten;VMFIN;10
Köpfe;NN;10
lachte;VVFIN;10
leicht;ADJD;10
lernen;VVINF;10
Lewis;NE;10
lieber;ADV;10
Loch;NN;10
meine;VVFIN;10
miteinander;ADV;10
musst;VMFIN;10
nehme;VVFIN;10
neu;ADJD;10
Nichts;PIS;10
Noch;ADV;10
Nummer;NN;10
Panzer;NN;10
Polizisten;NN;10
Ruhe;NN;10
sauber;ADJD;10
schicken;VVINF;10
schiebt;VVFIN;10
Schön;ADJD;10
schreibt;VVFIN;10
Schritt;NN;10
schüttelt;VVFIN;10
Sieger;NN;10
sitzen;VVFIN;10
Sofa;NN;10
sollte;VMFIN;10
Spieler;NN;10
Stelle;NN;10
Tafel;NN;10
Tagen;NN;10
Taschen;NN;10
Torwart;NN;10
Toten;NN;10
tritt;VVFIN;10
Vielleicht;ADV;10
wann;PWAV;10
willst;VMFIN;10
Woche;NN;10
wütend;ADJD;10
zogen;VVFIN;10
zufrieden;ADJD;10
zweimal;ADV;10
Ahnung;NN;9
allen;PIS;9
Als;APPR;9
Augenbrauen;NN;9
bedeutet;VVFIN;9
Bier;NN;9
blauen;ADJA;9
bleiben;VVFIN;9
Bohnen;NN;9
bringt;VVFIN;9
Brust;NN;9
Ćora;NN;9
Decke;NN;9
denke;VVFIN;9
der;PDS;9
Desa;NE;9
Doktor;NN;9
dürfen;VMFIN;9
Erinnerungen;NN;9
esse;VVFIN;9
essen;VVFIN;9
essen;VVINF;9
fallen;VVINF;9
fehlt;VVFIN;9
Frühling;NN;9
Fußball;NN;9
Geländer;NN;9
gelegt;VVPP;9
gespielt;VVPP;9
Gewehr;NN;9
Gewehre;NN;9
gezeigt;VVPP;9
glaube;VVFIN;9
Glück;NN;9
Großmutter;NN;9
halten;VVFIN;9
Hanifa;NE;9
heraus;PTKVZ;9
Ibrahim;NE;9
irgendwann;ADV;9
jung;ADJD;9
junger;ADJA;9
kannte;VVFIN;9
Kapital;NN;9
Karfiol;NE;9
Kartoffeln;NN;9
Kikos;NE;9
Klasse;NN;9
Klo;NN;9
Lachen;NN;9
Laken;NN;9
landet;VVFIN;9
leer;ADJD;9
Lokomotive;NN;9
meisten;PIS;9
Mir;PPER;9
Nataša;NE;9
Nein;PTKANT;9
Papier;NN;9
Petak;NE;9
Pferde;NN;9
Recht;NN;9
retten;VVINF;9
Rucksack;NN;9
rührt;VVFIN;9
sagen;VVFIN;9
Schulhof;NN;9
sechzig;CARD;9
sicher;ADJD;9
solchen;PIAT;9
spielen;VVFIN;9
springt;VVFIN;9
spuckt;VVFIN;9
ständig;ADJD;9
Steine;NN;9
Stunde;NN;9
Teta;NE;9
Ton;NN;9
tragen;VVINF;9
trifft;VVFIN;9
Trompete;NN;9
Unser;PPOSAT;9
Unter;APPR;9
Veletovo;NN;9
verstanden;VVPP;9
Wege;NN;9
weint;VVFIN;9
weiße;ADJA;9
Wette;NN;9
wohin;PWAV;9
Yugo;NN;9
1992;CARD;8
Abendessen;NN;8
Ach;ITJ;8
Aleks;NE;8
Alle;PIS;8
arbeitet;VVFIN;8
Armee;NN;8
Augenklappe;NN;8
aus;APZR;8
Bäume;NN;8
Bedeutung;NN;8
beide;PIAT;8
Beine;NN;8
Belgrad;NE;8
Benzin;NN;8
bitte;ADV;8
blass;ADJD;8
blitzt;VVFIN;8
Bogen;NN;8
brach;VVFIN;8
Briefe;NN;8
Buch;NN;8
Bunda;NE;8
deutete;VVFIN;8
drehte;VVFIN;8
eh;ADV;8
einem;PIS;8
eines;PIS;8
Einzige;NN;8
Ema;NE;8
erinnern;VVINF;8
erzählt;VVPP;8
Essen;NN;8
Fahrrad;NN;8
fest;ADJD;8
Fest;NN;8
Fleck;NN;8
Fliegen;NN;8
freue;VVFIN;8
froh;ADJD;8
führt;VVFIN;8
Füße;NN;8
gebracht;VVPP;8
Gefühl;NN;8
gelben;ADJA;8
gemeint;VVPP;8
genug;ADV;8
gerufen;VVPP;8
Gesang;NN;8
Gesichter;NN;8
gezogen;VVPP;8
grauen;ADJA;8
griff;VVFIN;8
größten;ADJA;8
Großvater;NN;8
Gut;ADJD;8
guter;ADJA;8
halbe;ADJA;8
helfen;VVINF;8
Hinter;APPR;8
hinzu;PTKVZ;8
hohen;ADJA;8
Holz;NN;8
Hunger;NN;8
Italiener;NN;8
jede;PIAT;8
jeder;PIS;8
Johann;NE;8
Karfiol;NN;8
Käse;NN;8
Keine;PIAT;8
keiner;PIS;8
Kind;NN;8
Kraft;NN;8
krank;ADJD;8
lagen;VVFIN;8
lass;VMFIN;8
Lenkrad;NN;8
lernte;VVFIN;8
letztes;ADJA;8
ließen;VVFIN;8
Locken;NN;8
machen;VVFIN;8
machten;VVFIN;8
mag;VMFIN;8
malte;VVFIN;8
Marx;NE;8
mehr;PIS;8
mehrmals;ADV;8
Mensch;NN;8
mitgebracht;VVPP;8
mitten;ADV;8
möglich;ADJD;8
Moment;NN;8
Musikprofessor;NN;8
nah;ADJD;8
nehmen;VVFIN;8
nehmen;VVINF;8
neuen;ADJA;8
Oberkörper;NN;8
Oder;KON;8
ohne;KOUI;8
Partisanen;NN;8
raus;ADV;8
Reden;NN;8
redet;VVFIN;8
schießt;VVFIN;8
schließt;VVFIN;8
Schnee;NN;8
schob;VVFIN;8
schönen;ADJA;8
schoss;VVFIN;8
Schweine;NN;8
Schweiß;NN;8
Seit;APPR;8
sitze;VVFIN;8
solange;KOUS;8
Spucke;NN;8
Stab;NN;8
starb;VVFIN;8
Staub;NN;8
steigt;VVFIN;8
stieg;VVFIN;8
stimmt;VVFIN;8
Straßen;NN;8
Stuhl;NN;8
tausend;CARD;8
Tochter;NN;8
tragen;VVFIN;8
trinkt;VVFIN;8
unbedingt;ADV;8
Unfertigen;NN;8
Unsere;PPOSAT;8
Unterhemd;NN;8
Urgroßeltern;NN;8
verlassen;VVPP;8
verschwunden;VVPP;8
verstand;VVFIN;8
vierzehn;CARD;8
vorne;ADV;8
Waffe;NN;8
warst;VAFIN;8
werfen;VVINF;8
wiegt;VVFIN;8
winkte;VVFIN;8
wirst;VAFIN;8
wollten;VMFIN;8
worden;VAPP;8
Wörterbuch;NN;8
Yugos;NN;8
Zehn;CARD;8
Zu;APPR;8
ahnen;VVINF;7
angeln;VVINF;7
Angler;NN;7
Ärmel;NN;7
Asijas;NE;7
aß;VVFIN;7
